_id,dayIndex,periodIndex,fromTime,toTime,klassId,schoolId,academicYearId
596393970148403c09510001,1,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510002,2,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510003,3,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510004,4,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510005,5,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510006,6,1,9:00,9:45,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510007,1,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510008,2,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510009,3,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510010,4,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510011,5,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510012,6,2,9:45,10:30,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510013,1,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510014,2,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510015,3,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510016,4,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510017,5,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510018,6,3,10:30,11.15,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510019,1,4,11:15,12,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
596393970148403c09510020,2,4,11:15,12,596393970148403c09543001,596393970148403c09541001,596393970148403c09550001
