_id,klassSectionId,klassPeriodId,klassSectionSubjectId,schoolId,academicYearId
596393970148403c09513001,596393970148403c09544001,596393970148403c09510001,596393970148403c09549001,596393970148403c09541001,596393970148403c09550001
596393970148403c09513002,596393970148403c09544001,596393970148403c09510002,596393970148403c09549002,596393970148403c09541001,596393970148403c09550001
596393970148403c09513003,596393970148403c09544001,596393970148403c09510003,596393970148403c09549003,596393970148403c09541001,596393970148403c09550001
596393970148403c09513004,596393970148403c09544001,596393970148403c09510004,596393970148403c09549004,596393970148403c09541001,596393970148403c09550001
596393970148403c09513005,596393970148403c09544001,596393970148403c09510005,596393970148403c09549005,596393970148403c09541001,596393970148403c09550001
596393970148403c09513006,596393970148403c09544001,596393970148403c09510006,596393970148403c09549006,596393970148403c09541001,596393970148403c09550001
596393970148403c09513007,596393970148403c09544001,596393970148403c09510007,596393970148403c09549007,596393970148403c09541001,596393970148403c09550001
596393970148403c09513008,596393970148403c09544001,596393970148403c09510008,596393970148403c09549008,596393970148403c09541001,596393970148403c09550001
596393970148403c09513009,596393970148403c09544001,596393970148403c09510009,596393970148403c09549001,596393970148403c09541001,596393970148403c09550001
596393970148403c09513010,596393970148403c09544001,596393970148403c09510010,596393970148403c09549002,596393970148403c09541001,596393970148403c09550001
596393970148403c09513011,596393970148403c09544001,596393970148403c09510011,596393970148403c09549003,596393970148403c09541001,596393970148403c09550001
596393970148403c09513012,596393970148403c09544001,596393970148403c09510012,596393970148403c09549004,596393970148403c09541001,596393970148403c09550001
596393970148403c09513013,596393970148403c09544001,596393970148403c09510013,596393970148403c09549005,596393970148403c09541001,596393970148403c09550001
596393970148403c09513014,596393970148403c09544001,596393970148403c09510014,596393970148403c09549006,596393970148403c09541001,596393970148403c09550001
596393970148403c09513015,596393970148403c09544001,596393970148403c09510015,596393970148403c09549007,596393970148403c09541001,596393970148403c09550001
596393970148403c09513016,596393970148403c09544001,596393970148403c09510016,596393970148403c09549008,596393970148403c09541001,596393970148403c09550001
596393970148403c09513017,596393970148403c09544001,596393970148403c09510017,596393970148403c09549001,596393970148403c09541001,596393970148403c09550001
596393970148403c09513018,596393970148403c09544001,596393970148403c09510018,596393970148403c09549002,596393970148403c09541001,596393970148403c09550001
596393970148403c09513019,596393970148403c09544001,596393970148403c09510019,596393970148403c09549003,596393970148403c09541001,596393970148403c09550001
596393970148403c09513020,596393970148403c09544001,596393970148403c09510020,596393970148403c09549004,596393970148403c09541001,596393970148403c09550001
596393970148403c09513021,596393970148403c09544001,596393970148403c09510021,596393970148403c09549005,596393970148403c09541001,596393970148403c09550001
596393970148403c09513022,596393970148403c09544001,596393970148403c09510022,596393970148403c09549006,596393970148403c09541001,596393970148403c09550001
596393970148403c09513023,596393970148403c09544001,596393970148403c09510023,596393970148403c09549007,596393970148403c09541001,596393970148403c09550001
596393970148403c09513024,596393970148403c09544001,596393970148403c09510024,596393970148403c09549008,596393970148403c09541001,596393970148403c09550001
596393970148403c09513025,596393970148403c09544001,596393970148403c09510025,596393970148403c09549001,596393970148403c09541001,596393970148403c09550001
